Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#boyfriendgirlfriend--karrinrachelle (e75),75,#boyfriendgirlfriend,karrinrachelle,#boyfriendgirlfriend,0.008884874172508717,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#buffet--karrinrachelle (e76),76,#buffet,karrinrachelle,#buffet,0.008845984004437923,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burger--karrinrachelle (e77),77,#burger,karrinrachelle,#burger,0.009063859470188618,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowl--karrinrachelle (e78),78,#burritobowl,karrinrachelle,#burritobowl,0.00861751101911068,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowl4life--karrinrachelle (e79),79,#burritobowl4life,karrinrachelle,#burritobowl4life,0.008913354016840458,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowladdict--karrinrachelle (e80),80,#burritobowladdict,karrinrachelle,#burritobowladdict,0.008984188549220562,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlbaby--karrinrachelle (e81),81,#burritobowlbaby,karrinrachelle,#burritobowlbaby,0.009075452573597431,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlbliss--karrinrachelle (e82),82,#burritobowlbliss,karrinrachelle,#burritobowlbliss,0.009015502408146858,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlgoodness--karrinrachelle (e83),83,#burritobowlgoodness,karrinrachelle,#burritobowlgoodness,0.009441140107810497,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlheaven--karrinrachelle (e84),84,#burritobowlheaven,karrinrachelle,#burritobowlheaven,0.008945386856794357,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowllife--karrinrachelle (e85),85,#burritobowllife,karrinrachelle,#burritobowllife,0.009375161491334438,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowllove--karrinrachelle (e86),86,#burritobowllove,karrinrachelle,#burritobowllove,0.008992292918264866,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowllover--karrinrachelle (e87),87,#burritobowllover,karrinrachelle,#burritobowllover,0.009097889997065067,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlme--karrinrachelle (e88),88,#burritobowlme,karrinrachelle,#burritobowlme,0.009146811440587044,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlnight--karrinrachelle (e89),89,#burritobowlnight,karrinrachelle,#burritobowlnight,0.009157820604741573,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlsrock--karrinrachelle (e90),90,#burritobowlsrock,karrinrachelle,#burritobowlsrock,0.009606724604964256,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#burritobowlswag--karrinrachelle (e91),91,#burritobowlswag,karrinrachelle,#burritobowlswag,0.009144178591668606,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#celebrities--karrinrachelle (e92),92,#celebrities,karrinrachelle,#celebrities,0.009066413156688213,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
